1. 教科及び教科の指導法に関する科目  (2) 情報科学部　情報工学科 免許種: 高等学校教諭一種免許状（数学） ,,,,,,,,,,,,,,,
免許法施行規則に定める科目区分等,免許法施行規則に定める科目区分等,免許法施行規則に定める科目区分等,左記に対応する本学に開設授業科目,左記に対応する本学に開設授業科目,,,,,,,,,,,
科目区分,各科目に含めることが必要な事項,最低取得単位数,授業科目名,単位数,必修・選択の別,備考,,,,,,,,,
教科に関する専門的事項,「確率論、統計学」,24単位,情報理論,2,●,※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら44ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。 ,,,,,,,,,
教科に関する専門的事項,コンピュータ,24単位,データ構造とアルゴリズムⅠ,2,◯,※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら44ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。 ,,,,,,,,,
教科に関する専門的事項,コンピュータ,24単位,プログラミングⅠ,2,◯,※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら44ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。 ,,,,,,,,,
教科に関する専門的事項,コンピュータ,24単位,プログラミングⅠ演習,1,◯,※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら45ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。,,,,,,,,,
教科に関する専門的事項,コンピュータ,24単位,実社会指向基礎数学,2,●,※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら46ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。,,,,,,,,,
教科に関する専門的事項,コンピュータ,24単位,コンピューターアーキテクチャ,2,●,※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら47ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。,,,,,,,,,
教科に関する専門的事項,コンピュータ,24単位,コンピュータシステム,2,●,※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら48ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。,,,,,,,,,
,各教科の指導法,24単位,デジタルデザイン,2,●,※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら49ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。,,,,,,,,,
,各教科の指導法,24単位,最適化法,2,●,※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら50ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。,,,,,,,,,
,各教科の指導法,24単位,教科教育法（数学）Ⅰ,2,◯,※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら51ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。,,,,,,,,,
,各教科の指導法,24単位,教科教育法（数学）Ⅱ,2,◯,※免許取得における 必修科目を「◯」、選 択科目を「●」で表示。 （卒業要件における必 修・選択・自由の区 分については、教育 課程表（12ページか ら52ページ）を参照 すること。）  ※最低修得単位数を 超えて修得した単位 は、「大学が独自に設 定する科目」の単位 数に算入することが できる。,,,,,,,,,
,,,,,,,,,,,,,,,
