専門教育科目　国際学部　国際学科,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考
専門科目　アクティブ科目　演習,専門演習Ⅱ,1,,,3年次,専門演習について 専門演習の分野から2単位以上（演習Ⅰと演習Ⅱを各1単位以上）を履修すること。 「専門演習Ⅰ」は前期履修を、「専門演習Ⅱ」は後期履修を原則とし、事前に指導教員の許可があった場合、「専門演習Ⅰ」の後期履修又は「専門演習Ⅱ」の前期履修が認められる。
専門科目　アクティブ科目　演習,卒論演習Ⅰ,1,,,4年次,なし
専門科目　アクティブ科目　演習,卒論演習Ⅱ,1,,,4年次,なし
専門科目　特別演習・特別講義,特別演習Ⅰ,,1,,4年次,特別演習について 「特別演習Ⅰ」、「特別演習Ⅱ」は、事前に指導教員の許可があった場合に履修が認められる。また、一定の条件のもとに「アクティブ科目」への加算が認められる。
専門科目　特別演習・特別講義,特別演習Ⅱ,,1,,4年次,特別演習について 「特別演習Ⅰ」、「特別演習Ⅱ」は、事前に指導教員の許可があった場合に履修が認められる。また、一定の条件のもとに「アクティブ科目」への加算が認められる。
専門科目　特別演習・特別講義,特別演習Ⅲ,,1,,4年次,なし
専門科目　特別演習・特別講義,特別演習Ⅳ,,1,,4年次,なし
専門科目　特別演習・特別講義,特別講義Ⅰ,,2,,4年次,なし
専門科目　特別演習・特別講義,特別講義Ⅱ,,2,,4年次,なし
専門科目　卒業論文,卒業論文,4,,,4年次,卒業論文着手要件 広島市立大学履修規程第8条に規定する「学長が別に定める要件を満たす」者とは、国際学部においては、次の各号のいずれかに該当する者とする。 次に掲げる条件を満たす者。 卒業の要件となる128単位のうち、90単位以上を修得していること。 教授会で認められた者。
