専門教育科目　国際学部　国際学科,,,,,,
科目区分,授業科目名,必修(単位数),選択(単位数),自由(単位数),開設年次及び学期,備考
専門科目　5プログラム科目　公共政策・NPOプログラム,リーディング・パプリック・ポリシーi,0,1,0,1年・第3ターム(後期),なし
専門科目　5プログラム科目　公共政策・NPOプログラム,リーディング・パプリック・ポリシーii,0,1,0,1年・第4ターム(後期),なし
専門科目　5プログラム科目　公共政策・NPOプログラム,国際開発学,0,2,0,1年・後期,政治※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　公共政策・NPOプログラム,生涯学習概論,0,2,0,1年・後期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,ミクロ経済学Ⅱ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,基本統計学Ⅱ-i,0,1,0,2年・第1ターム(前期),なし
専門科目　5プログラム科目　公共政策・NPOプログラム,基本統計学Ⅱ-ii,0,1,0,2年・第2ターム(前期),なし
専門科目　5プログラム科目　公共政策・NPOプログラム,交通論,0,2,0,2年・前期,ビジネス※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。【地域貢献特定プログラム】
専門科目　5プログラム科目　公共政策・NPOプログラム,開発社会学,0,2,0,2年・前期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,非営利組織論Ⅰ,0,2,0,2年・前期,ビジネス※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。【地域貢献特定プログラム】
専門科目　5プログラム科目　公共政策・NPOプログラム,非営利組織論Ⅱ,0,2,0,2年・後期,ビジネス※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。【地域貢献特定プログラム】
専門科目　5プログラム科目　公共政策・NPOプログラム,財政学Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,財政学Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,現代社会と法Ⅰ,0,2,0,2年・前期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,現代社会と法Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,経済政策論Ⅰ,0,2,0,2年・前期,政治※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　公共政策・NPOプログラム,経済政策論Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,組織の経済学Ⅰ,0,2,0,2年・前期,ビジネス※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　公共政策・NPOプログラム,組織の経済学Ⅱ,0,2,0,2年・後期,ビジネス※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　公共政策・NPOプログラム,マクロ経済学Ⅱ,0,2,0,2年・後期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,金融論,0,2,0,2年・後期,ビジネス※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　公共政策・NPOプログラム,スポーツ開発論,0,2,0,2年・後期,ビジネス※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。
専門科目　5プログラム科目　公共政策・NPOプログラム,健康心理学,0,2,0,2年・後期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,国際教育論,0,2,0,2年・後期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,地域再生論,0,2,0,2年・後期,ビジネス※ 授業科目によっては、２つのプログラムに共通する授業科目もあり、「備考欄」に下記の略号を付記しています。【地域貢献特定プログラム】
専門科目　5プログラム科目　公共政策・NPOプログラム,環境社会学,0,2,0,2年・後期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,地方自治論,0,2,0,2年・前期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,開発プロジェクト論,0,2,0,3年・前期,なし
専門科目　5プログラム科目　公共政策・NPOプログラム,教育経営学,0,2,0,3年・前期,なし
